link_name,profile,loc,type
" ALTERNATIVE HIGH SCHOOL FOR GIRLS, Agboju",11791,Amuwo-Odofin,State owned
(JOHICE) - Military Child Education Coalition ,106054,Oshodi-Isolo,Privately owned
"1st CRT LEARNING RESOURCES CENTRE, Lekki Phasse 1",106413,Eti-Osa,Privately owned
"2ND AVENUE NUR/PRY  SCHOOL,  Festac Town",2170,Amuwo-Odofin,State owned
"3RD AVENUE PRIMARY SCHOOL, Festac Town",222,Amuwo-Odofin,State owned
"4TH AVENUE NUR/PRY SCHL,  Festac Town",198,Amuwo-Odofin,State owned
"512 ROAD NUR/PRY SCHOOL,   Festac Town",197,Amuwo-Odofin,State owned
"5TH AVENUE NUR/PRY SCHOOL, Festac Town",196,Amuwo-Odofin,State owned
"7TH AVENUE NUR/PRY SCHOOL,  Festac Town",221,Amuwo-Odofin,State owned
"A & T COLLEGE, Tabon-Tabon",3079,Agege,Privately owned
"A & T SCHOOLS, Tabon-Tabon",3080,Agege,Privately owned
"A P COLLEGE,  Ejigbo",5551,Oshodi-Isolo,Privately owned
A PINE APPLE N/P SCHOOL,105284,,Privately owned
"A PRINCE WITH GOD NURSERY & PRIMARY SCHOOL, Mushin",3926, Mushin,Privately owned
A-U-D JUNIOR COMPREHENSIVE HIGH SCHOOL,934,Oshodi-Isolo,State owned
A-U-D JUNIOR GRAMMAR SCHOOL,933,Oshodi-Isolo,State owned
"A-Z COLLEGE, Oshodi",10022,Oshodi-Isolo,Privately owned
"A.A. INTERNATIONAL COLLEGE, Satellite ",5642,Amuwo-Odofin,Privately owned
"A.D.S. JUNIOR GRAMMAR SCHOOL, Badagry",10216, Badagry ,State owned
"A.D.S. MODEL NURSERY & PRIMARY SCHOOL, Badagry",9476, Badagry ,State owned
"A.U.D JUNIOR  HIGH SCHOOL,  Surulere",1992,Surulere,State owned
"A.U.D PRY SCHOOL, Epe",2681,Epe,State owned
A.U.D. COMPREHENSIVE JUNIOR HIGH SCHOOL,12417,Oshodi-Isolo,State owned
"AANUOLUWAPO PRIMARY SCHOOL,  Oke-Odo",140,Alimosho,State owned
"AARESTHER DIVINE NUR/PRY SCHOOL, Ajao Estate",3114,Oshodi-Isolo,Privately owned
"AARESTHER DIVINE SECONDARY SCHOOL, AJAO ESTATE.",11920,Oshodi-Isolo,Privately owned
"AAVIC GOLDENGATE SCHOOL,Ilasamaja",106312,Oshodi-Isolo,Privately owned
"AB & M PREPARATORY & PRIMARY SCHOOL, Ijaiye",3361,Ifako/Ijaiye,Privately owned
"ABAAB CHILDREN SCHOOL, Alagbado",10640,Alimosho,Privately owned
"ABARANJE NUR & PRY SCHOOL II, Abaranje",9227,Alimosho,State owned
"ABARANJE NURSERY & PRIMARY SCHOOL I, Abaranje",10177,Alimosho,State owned
"ABARANJE PRIMARY SCHOOL,  Abaranje",168,Alimosho,State owned
"ABATI NURSERY & PRIMARY SCHOOL, Akowonjo",9238,Alimosho,State owned
"ABBOT DAYSPRING CHILDREN SCHOOL, Ayobo-Ipaja",3470,Alimosho,Privately owned
"ABBOT DAYSPRING COLLEGE, Ayobo",3464,Alimosho,Privately owned
"ABC ROYAL SCHOOL, Maza-Maza",49082,Amuwo-Odofin,Privately owned
"ABED-NEGO MONTESSORI NUR/PRY SCHOOL, Ketu",3816,Kosofe,Privately owned
"ABEJOYE PRIMARY SCHOOL,  Igbokuta",834,Ikorodu,State owned
"ABESAN COMPREHENSIVE SENIOR COLLEGE,  Abesan",1026,Alimosho,State owned
"ABESAN JUNIOR HIGH SCHOOL,  Abesa-Ipaja",380,Alimosho,State owned
"ABESAN JUNIOR HIGH SCHOOL, Abesan",10291,Alimosho,State owned
"ABESAN PRIMARY SCHOOL,  Abesan",132,Alimosho,State owned
ABESAN SENIOR HIGH SCHOOL,12215,Alimosho,State owned
"ABESAN SENIOR HIGH SCHOOL-1,  Abesan",1912,Alimosho,State owned
"ABIBAT MOGAJI MILLENIUM SNR SEC. SCH, Iloro",9514,Agege,State owned
"ABIBOSS NUR & PRY SCHOOL, Okekoto",12490,Agege,Privately owned
"ABIBOSS NURSERY & PRIMARY SCHOOL, Sari Iganmu",4505,Apapa,Privately owned
"ABIKS HIGH SCHOOL,  Tabon-Tabon",2996,Agege,Privately owned
"ABIKS PRIVATE NUR./PRY SCHOOL, Agege",2980,Agege,Privately owned
"ABILITY CHILDREN SCHOOL, Idimangoro",4685,Agege,Privately owned
"ABIMBOLA GIBSON MEM. PRY SCHL, Surulere",2017,Surulere,State owned
"ABINA/OMOLOLU NUR/PRY SCHL, Surulere",2029,Surulere,State owned
"ABIODUN PRIMARY SCHOOL, Mushin",1537,,State owned
"ABIOLU COMPREHENSIVE COLLEGE, Igando ",4657,Alimosho,Privately owned
"ABIOLU NURSERY & PRIMARY SCHOOL, Igando",92439,Alimosho,Privately owned
ABJ College,105849,,
"ABMOS NUR & PRY SCHOOL, Lagos Island",49277,Lagos-Island,Privately owned
"ABORU PRIMARY SCHOOL,   Aboru",167,Alimosho,State owned
"ABS COLLEGE, Orile Igammu ",5227,Surulere,Privately owned
"ABU-HASBUNALLAHU PRIVATE SCHOOL, Igbogbo",3362,Ikorodu,Privately owned
"ABUDANT LIFE NURSERY & PRIMARY SCHOOL, Fagba ",5008,Ifako/Ijaiye,Privately owned
"ABULE AYO PRIMARY, Bariga",2456,,State owned
"ABULE EGBA COMMUNITY PRY SCHOOL,   Abule Egba",181,Alimosho,State owned
"ACCESS UNIVERSAL COLLEGE, Shasha-Akowonjo",2940,Alimosho,Privately owned
"ACE COLLEGE  INTERNATIONAL, Ikorodu",105603,Ikorodu,Privately owned
"ACEHALL NURSERY/PRIMARY SCHOOL, Ikeja",10151, Ikeja,Privately owned
"ACHIEVERS NURSERY & PRIMARY SCHOOL, Owutu",74508,Ikorodu,Privately owned
"ACME PRIVATE SCHOOLS, Agric",3742,Ikorodu,Privately owned
"ADAB COMPREHENSIVE COLLEGE, Imude Shibiri",64347,Ojo,Privately owned
"ADAK  NUR/PRY PRIVATE SCHOOL, Olosa",49244, Mushin,Privately owned
"ADAM YAKUB MEMORIAL HIGH SCHOOL,Onipetesi",2210,Agege,Privately Owned
"ADAMANDA PRIVATE SCHOOL, Ibereko",4345, Badagry ,Privately owned
"ADARANIJO PRIMARY SCHOOL, Pedro",2540,,State owned
"ADDO PRIMARY SCHOOL, Langbasa",673,Eti-Osa,State owned
"ADE ADEGBITE NURSERY & PRIMARY SCHOOL, Bariga ",11133, Shomolu,Privately owned
"ADE GLORYLAND NUR. & PRY SCHOOL, Obadore ",48679,Alimosho,Privately owned
"ADE-ABBA CRES SET SCHOOL, Badore",64391,Eti-Osa,Privately owned
"ADE-OSHO COMPREHENSIVE COLLEGE, Bariga ",4555, Shomolu,Privately owned
"ADE-OSHODI MEMORIAL BAPTIST SCHOOL,  Lagos",1888,Lagos-Island,State owned
"ADEBAYO MOKUOLA COLLEGE, Ogba",77381, Ikeja,Privately owned
"ADEBAYO MOKUOLU COLLEGE, Ifako-Ijaiye",11666,Ifako/Ijaiye,Privately owned
"ADEBOLA BAPTIST JUNIOR HIGH SCHOOL, Surulere",968,Surulere,State owned
"ADEBOLA BAPTIST NUR & PRY SCHOOL, Surulere",2910,Surulere,State owned
"ADEBOLA BAPTIST SENIOR HIGH SCHOOL, Surulere",2265,Surulere,State owned
"ADEBULE PRIMARY SCHOOL, Fola-Agoro",2457,,State owned
"ADEBULE PRIMARY SCHOOL, Isawo",12308,Ikorodu,State owned
ADEFESO NURSERY AND PRIMARY SCHOOL,105287,,Privately owned
"ADEGOKE COMPUTER CENTRE,  Masha",2078,Surulere,State owned
"ADEGOKE HIGH SCHOOL, Agege",76026,Agege,Privately owned
"ADEGOKE NUR & PRY SCHL,  Masha",2077,Surulere,State owned
"ADEIFE SODIPO-AKINDEKO MEMORIAL PRIMARY SCHOOL, Bariga",2531,,State owned
"ADEKUNLE ANGLICAN PRIMARY SCHL, Makoko",1981,Lagos-Mainland,State owned
"ADELEYE HOME ECONOMICS CENTRE, Mushin",1436, Mushin,State owned
"ADELEYE NURSERY & PRIMARY SCHOOL, Ayobo",105899,Alimosho,Privately owned
"ADELEYE NURSERY & PRIMARY SCHOOL, Mushin",1538,,State owned
"ADENIJI NUR/PRY SCHOOL ,SURULERE",2054,Surulere,State owned
"ADENIYI GOODWILL PRIVATE SECONDARY SCHOOL, Ijanikin",5755,Ojo,Privately owned
"ADENIYI JONES PRY SCHOOL, Ikeja",2337,,State owned
"ADENIYI PRIMARY SCHOOL,  Mushin",1539,,State owned
"ADEOLA MEMORIAL COLLEGE, Iju",10925,Ifako/Ijaiye,Privately owned
