school_name,lat_lon,cat,website
Grange School (Ikeja GRA),"6.588916, 3.355282",Core Interviews,Y
Oxbridge Tutorial College (Ikeja GRA),"6.578034, 3.357637",Core Interviews,Y
Jextoban School (Ketu),"6.591273, 3.400970",Core Interviews,Y
Dowen College (Lekki Phase 1),"6.441997, 3.463832",Core Interviews,Y
Phidel College (Ejigbo / Alimosho),"6.547939, 3.273440",Core Interviews,Y
Doregos (Alimosho),"6.608696, 3.280498",Core Interviews,Y
Queensland Academy (Ejigbo),"6.507343, 3.320799",Core Interviews,Y
Queens College (near Onike roundabout),"6.517810, 3.382683",Core Interviews,N
Lekki British International School (Lekki Phase 1),"6.444190, 3.471824",Secondary Interviews,Y
Greensprings (Anthony Campus),"6.557837, 3.368380",Secondary Interviews,N
Bridge House College (Ikoyi),"6.463452, 3.415225",Secondary Interviews,N
Effortswill (Ejigbo),"6.540121, 3.297184",Secondary Interviews,Y
Excel College (Ejigbo),"6.537763, 3.295397",Secondary Interviews,Y
Imperial Lights College (Alimosho),"6.602741, 3.273946",Secondary Interviews,N
Temple College (Ikeja),"6.616171, 3.349046",Secondary Interviews,Y
Grace Schools (Gbagada),"6.547793, 3.378797",Secondary Interviews,Y
Chrisland,"6.593280, 3.357889",Visited,Y
Honeyland,"6.617243, 3.365980",Visited,Y
Lagoon,"6.435018, 3.467845",Visited,Y
White Sands,"6.476563, 3.602559",Visited,Y
Caleb International School,"6.603335, 3.376321",Visited,Y
Krisbethel ,"6.609561, 3.281892",Visited,Y
Meadow Hall,"6.431843, 3.487930",Visited,Y
Faith Academy,"6.630350, 3.329681",Visited,Y
New Hall International,"6.445541, 3.526431",Visited,Y
Vivian Fowler,"6.608792, 3.361112",Visited,Y
Ronik,"6.537301, 3.295166",Visited,Y
Kings College ,"6.449774, 3.399586",Visited,N
David Hall,"6.448212, 3.413079",Schools not visited,N
River Bank School,"6.430079, 3.442968",Schools not visited,Y
Day Waterman,"6.449624, 3.432931",Schools not visited,N
St Saviours,"6.450083, 3.449714",Schools not visited,Y
Corona,"6.444300, 3.437083",Schools not visited,Y
Atlantic Hall,"6.616792, 3.961710",Schools not visited,Y
Rainbow Hall ,"6.493032, 3.365033",Schools not visited,Y
,,,
,,,
