OBJECTID *,Shape *,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,SenDist_en,SenDistPcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area
1,Polygon,Aba North,NG001001,Aba North,<Null>,<Null>,Abia South,NG00103,Abia,NG001,Nigeria,NG,11/29/16,4/17/19,<Null>,0.237074,0.001524
2,Polygon,Aba South,NG001002,Aba South,<Null>,<Null>,Abia South,NG00103,Abia,NG001,Nigeria,NG,11/29/16,4/17/19,<Null>,0.262477,0.003531
3,Polygon,Abadam,NG008001,Abadam,<Null>,<Null>,Borno North,NG00802,Borno,NG008,Nigeria,NG,11/29/16,4/17/19,<Null>,3.075316,0.326868
4,Polygon,Abaji,NG015001,Abaji,<Null>,<Null>,Federal Capital Territory,NG01501,Federal Capital Territory,NG015,Nigeria,NG,11/29/16,4/17/19,<Null>,2.537984,0.068379
5,Polygon,Abak,NG003001,Abak,<Null>,<Null>,Akwa Ibom North West,NG00302,Akwa Ibom,NG003,Nigeria,NG,11/29/16,4/17/19,<Null>,0.68715,0.014529
6,Polygon,Abakaliki,NG011001,Abakaliki,<Null>,<Null>,Ebonyi North,NG01103,Ebonyi,NG011,Nigeria,NG,11/29/16,4/17/19,<Null>,1.062415,0.037865
7,Polygon,Abeokuta North,NG028001,Abeokuta North,<Null>,<Null>,Ogun Central,NG02801,Ogun,NG028,Nigeria,NG,11/29/16,4/17/19,<Null>,1.187195,0.062916
8,Polygon,Abeokuta South,NG028002,Abeokuta South,<Null>,<Null>,Ogun Central,NG02801,Ogun,NG028,Nigeria,NG,11/29/16,4/17/19,<Null>,0.315971,0.004609
9,Polygon,Abi,NG009001,Abi,<Null>,<Null>,Cross River Central,NG00901,Cross River,NG009,Nigeria,NG,11/29/16,4/17/19,<Null>,0.877586,0.021879
10,Polygon,Aboh-Mbaise,NG017001,Aboh-Mbaise,<Null>,<Null>,Imo East,NG01701,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.712043,0.014378
11,Polygon,Abua/Odual,NG033001,Abua/Odual,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,1.257065,0.058378
12,Polygon,Abuja Municipal,NG015002,Abuja Municipal,<Null>,<Null>,Federal Capital Territory,NG01501,Federal Capital Territory,NG015,Nigeria,NG,11/29/16,4/17/19,<Null>,1.822641,0.141634
13,Polygon,Adavi,NG023001,Adavi,<Null>,<Null>,Kogi Central,NG02301,Kogi,NG023,Nigeria,NG,11/29/16,4/17/19,<Null>,1.550954,0.058465
14,Polygon,Ado,NG007001,Ado,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,11/29/16,4/17/19,<Null>,1.819207,0.097102
15,Polygon,Ado-Odo/Ota,NG028003,Ado-Odo/Ota,<Null>,<Null>,Ogun West,NG02803,Ogun,NG028,Nigeria,NG,11/29/16,4/17/19,<Null>,1.210984,0.06984
16,Polygon,Ado Ekiti,NG013001,Ado Ekiti,<Null>,<Null>,Ekiti Central,NG01302,Ekiti,NG013,Nigeria,NG,11/29/16,4/17/19,<Null>,0.82142,0.02959
17,Polygon,Afijio,NG031001,Afijio,<Null>,<Null>,Oyo Central,NG03101,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,1.002762,0.027144
18,Polygon,Afikpo North,NG011002,Afikpo North,<Null>,<Null>,Ebonyi South,NG01101,Ebonyi,NG011,Nigeria,NG,11/29/16,4/17/19,<Null>,0.698986,0.019527
19,Polygon,Afikpo South,NG011003,Afikpo South,<Null>,<Null>,Ebonyi South,NG01101,Ebonyi,NG011,Nigeria,NG,11/29/16,4/17/19,<Null>,0.874414,0.030787
20,Polygon,Agaie,NG027001,Agaie,<Null>,<Null>,Niger South,NG02703,Niger,NG027,Nigeria,NG,11/29/16,4/17/19,<Null>,1.878563,0.157848
21,Polygon,Agatu,NG007002,Agatu,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,11/29/16,4/17/19,<Null>,1.463458,0.085903
22,Polygon,Agege,NG025001,Agege,<Null>,<Null>,Lagos West,NG02501,Lagos,NG025,Nigeria,NG,11/29/16,4/17/19,<Null>,0.136929,0.000939
23,Polygon,Aguata,NG004001,Aguata,<Null>,<Null>,Anambra South,NG00403,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,0.675252,0.01417
24,Polygon,Agwara,NG027002,Agwara,<Null>,<Null>,Niger North,NG02702,Niger,NG027,Nigeria,NG,11/29/16,4/17/19,<Null>,1.545463,0.121634
25,Polygon,Ahiazu-Mbaise,NG017002,Ahiazu-Mbaise,<Null>,<Null>,Imo East,NG01701,Imo,NG017,Nigeria,NG,11/29/16,4/17/19,<Null>,0.4446,0.009296
26,Polygon,Ahoada East,NG033002,Ahoada East,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,0.93119,0.025945
27,Polygon,Ahoada West,NG033003,Ahoada West,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,0.96111,0.035916
28,Polygon,Aiyedade,NG030001,Aiyedade,<Null>,<Null>,Osun West,NG03003,Osun,NG030,Nigeria,NG,11/29/16,4/17/19,<Null>,1.79514,0.062436
29,Polygon,Aiyedire,NG030002,Aiyedire,<Null>,<Null>,Osun West,NG03003,Osun,NG030,Nigeria,NG,11/29/16,4/17/19,<Null>,0.71015,0.024818
30,Polygon,Aiyekire (Gbonyin),NG013002,Aiyekire (Gbonyin),<Null>,<Null>,Ekiti South,NG01301,Ekiti,NG013,Nigeria,NG,11/29/16,4/17/19,<Null>,0.943498,0.035605
31,Polygon,Ajaokuta,NG023002,Ajaokuta,<Null>,<Null>,Kogi Central,NG02301,Kogi,NG023,Nigeria,NG,11/29/16,4/17/19,<Null>,1.554482,0.113133
32,Polygon,Ajeromi-Ifelodun,NG025002,Ajeromi-Ifelodun,<Null>,<Null>,Lagos West,NG02501,Lagos,NG025,Nigeria,NG,11/29/16,4/17/19,<Null>,0.136005,0.001043
33,Polygon,Ajingi,NG020001,Ajingi,<Null>,<Null>,Kano South,NG02001,Kano,NG020,Nigeria,NG,11/29/16,4/17/19,<Null>,1.272469,0.059292
34,Polygon,Akamkpa,NG009002,Akamkpa,<Null>,<Null>,Cross River South,NG00903,Cross River,NG009,Nigeria,NG,11/29/16,4/17/19,<Null>,2.717531,0.410299
35,Polygon,Akinyele,NG031002,Akinyele,<Null>,<Null>,Oyo Central,NG03101,Oyo,NG031,Nigeria,NG,11/29/16,4/17/19,<Null>,1.050549,0.048891
36,Polygon,Akko,NG016001,Akko,<Null>,<Null>,Gombe Central,NG01601,Gombe,NG016,Nigeria,NG,11/29/16,4/17/19,<Null>,2.663498,0.202308
37,Polygon,Akoko-Edo,NG012001,Akoko-Edo,<Null>,<Null>,Edo North,NG01203,Edo,NG012,Nigeria,NG,11/29/16,4/17/19,<Null>,2.056648,0.109873
38,Polygon,Akoko North East,NG029001,Akoko North East,<Null>,<Null>,Ondo North,NG02902,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,1.008681,0.028181
39,Polygon,Akoko North West,NG029002,Akoko North West,<Null>,<Null>,Ondo North,NG02902,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,1.027634,0.046644
40,Polygon,Akoko South East,NG029003,Akoko South East,<Null>,<Null>,Ondo North,NG02902,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,0.58377,0.018187
41,Polygon,Akoko South West,NG029004,Akoko South West,<Null>,<Null>,Ondo North,NG02902,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,0.875524,0.040118
42,Polygon,Akpabuyo,NG009003,Akpabuyo,<Null>,<Null>,Cross River South,NG00903,Cross River,NG009,Nigeria,NG,11/29/16,4/17/19,<Null>,2.07624,0.06469
43,Polygon,Akuku Toru,NG033004,Akuku Toru,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,1.420045,0.101608
44,Polygon,Akure North,NG029005,Akure North,<Null>,<Null>,Ondo Central,NG02901,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,1.154186,0.055335
45,Polygon,Akure South,NG029006,Akure South,<Null>,<Null>,Ondo Central,NG02901,Ondo,NG029,Nigeria,NG,11/29/16,4/17/19,<Null>,0.809384,0.025222
46,Polygon,Akwanga,NG026001,Akwanga,<Null>,<Null>,Nassarawa North,NG02602,Nasarawa,NG026,Nigeria,NG,11/29/16,4/17/19,<Null>,1.228973,0.076952
47,Polygon,Albasu,NG020002,Albasu,<Null>,<Null>,Kano South,NG02001,Kano,NG020,Nigeria,NG,11/29/16,4/17/19,<Null>,1.42917,0.036818
48,Polygon,Aleiro,NG022001,Aleiro,<Null>,<Null>,Kebbi Central,NG02201,Kebbi,NG022,Nigeria,NG,11/29/16,4/17/19,<Null>,0.67119,0.027835
49,Polygon,Alimosho,NG025003,Alimosho,<Null>,<Null>,Lagos West,NG02501,Lagos,NG025,Nigeria,NG,11/29/16,4/17/19,<Null>,0.589767,0.015009
50,Polygon,Alkaleri,NG005001,Alkaleri,<Null>,<Null>,Bauchi South,NG00503,Bauchi,NG005,Nigeria,NG,11/29/16,4/17/19,<Null>,3.421109,0.495845
51,Polygon,Amuwo-Odofin,NG025004,Amuwo-Odofin,<Null>,<Null>,Lagos West,NG02501,Lagos,NG025,Nigeria,NG,11/29/16,4/17/19,<Null>,0.690195,0.011342
52,Polygon,Anambra East,NG004002,Anambra East,<Null>,<Null>,Anambra North,NG00402,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,0.759547,0.021152
53,Polygon,Anambra West,NG004003,Anambra West,<Null>,<Null>,Anambra North,NG00402,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,1.530236,0.077963
54,Polygon,Anaocha,NG004004,Anaocha,<Null>,<Null>,Anambra Central,NG00401,Anambra,NG004,Nigeria,NG,11/29/16,4/17/19,<Null>,0.437489,0.008231
55,Polygon,Andoni,NG033005,Andoni,<Null>,<Null>,Rivers South East,NG03302,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,0.72716,0.020468
56,Polygon,Aninri,NG014001,Aninri,<Null>,<Null>,Enugu West,NG01403,Enugu,NG014,Nigeria,NG,11/29/16,4/17/19,<Null>,0.808306,0.030187
57,Polygon,Aniocha North,NG010001,Aniocha North,<Null>,<Null>,Delta North,NG01002,Delta,NG010,Nigeria,NG,11/29/16,4/17/19,<Null>,0.837233,0.033058
58,Polygon,Aniocha South,NG010002,Aniocha South,<Null>,<Null>,Delta North,NG01002,Delta,NG010,Nigeria,NG,11/29/16,4/17/19,<Null>,1.215233,0.071115
59,Polygon,Anka,NG037001,Anka,<Null>,<Null>,Zamfara West,NG03703,Zamfara,NG037,Nigeria,NG,11/29/16,4/17/19,<Null>,2.290371,0.211518
60,Polygon,Ankpa,NG023003,Ankpa,<Null>,<Null>,Kogi East,NG02302,Kogi,NG023,Nigeria,NG,11/29/16,4/17/19,<Null>,1.534008,0.104971
61,Polygon,Apa,NG007003,Apa,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,11/29/16,4/17/19,<Null>,1.12954,0.075992
62,Polygon,Apapa,NG025005,Apapa,<Null>,<Null>,Lagos Central,NG02502,Lagos,NG025,Nigeria,NG,11/29/16,4/17/19,<Null>,0.281547,0.00164
63,Polygon,Ardo-Kola,NG035001,Ardo-Kola,<Null>,<Null>,Taraba North,NG03502,Taraba,NG035,Nigeria,NG,11/29/16,4/17/19,<Null>,1.817347,0.185598
64,Polygon,Arewa-Dandi,NG022002,Arewa-Dandi,<Null>,<Null>,Kebbi North,NG02202,Kebbi,NG022,Nigeria,NG,11/29/16,4/17/19,<Null>,3.356529,0.334784
65,Polygon,Argungu,NG022003,Argungu,<Null>,<Null>,Kebbi North,NG02202,Kebbi,NG022,Nigeria,NG,11/29/16,4/17/19,<Null>,1.457047,0.091302
66,Polygon,Arochukwu,NG001003,Arochukwu,<Null>,<Null>,Abia North,NG00102,Abia,NG001,Nigeria,NG,11/29/16,4/17/19,<Null>,1.263424,0.042547
67,Polygon,Asa,NG024001,Asa,<Null>,<Null>,Kwara Central,NG02401,Kwara,NG024,Nigeria,NG,11/29/16,4/17/19,<Null>,1.894629,0.109682
68,Polygon,Asari-Toru,NG033006,Asari-Toru,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,11/29/16,4/17/19,<Null>,0.534923,0.009376
69,Polygon,Askira/Uba,NG008002,Askira/Uba,<Null>,<Null>,Borno South,NG00803,Borno,NG008,Nigeria,NG,11/29/16,4/17/19,<Null>,2.713605,0.206528
70,Polygon,Atakumosa East,NG030003,Atakumosa East,<Null>,<Null>,Osun East,NG03002,Osun,NG030,Nigeria,NG,11/29/16,4/17/19,<Null>,0.919956,0.038003
71,Polygon,Atakumosa West,NG030004,Atakumosa West,<Null>,<Null>,Osun East,NG03002,Osun,NG030,Nigeria,NG,11/29/16,4/17/19,<Null>,0.850278,0.030446
